order_id,line_id,anomaly_type
SO500370,19,shipped_not_billed
SO500062,4,shipped_not_billed
SO500076,10,shipped_not_billed
SO500385,17,shipped_not_billed
SO500061,18,shipped_not_billed
SO500895,15,shipped_not_billed
SO500597,11,shipped_not_billed
SO500098,2,shipped_not_billed
SO500213,16,shipped_not_billed
SO500373,16,shipped_not_billed
SO500199,16,shipped_not_billed
SO500628,10,shipped_not_billed
SO500222,27,shipped_not_billed
SO500731,5,shipped_not_billed
SO500051,13,shipped_not_billed
SO500166,11,shipped_not_billed
SO500105,16,shipped_not_billed
SO500034,9,shipped_not_billed
SO500007,13,shipped_not_billed
SO500603,20,shipped_not_billed
SO500196,25,shipped_not_billed
SO500435,5,shipped_not_billed
SO500060,8,shipped_not_billed
SO500221,22,shipped_not_billed
SO500027,23,shipped_not_billed
SO500193,22,shipped_not_billed
SO500839,7,shipped_not_billed
SO500035,13,shipped_not_billed
SO500088,19,shipped_not_billed
SO500334,4,shipped_not_billed
SO500092,25,shipped_not_billed
SO500595,13,shipped_not_billed
SO500188,27,shipped_not_billed
SO500764,3,shipped_not_billed
SO500776,17,shipped_not_billed
SO500084,3,shipped_not_billed
SO500803,16,shipped_not_billed
SO500138,11,shipped_not_billed
SO500788,6,shipped_not_billed
SO500108,3,shipped_not_billed
SO500811,24,shipped_not_billed
SO500489,6,shipped_not_billed
SO500199,10,shipped_not_billed
SO500445,4,shipped_not_billed
SO500743,9,shipped_not_billed
SO500483,27,shipped_not_billed
SO500460,3,shipped_not_billed
SO500502,21,shipped_not_billed
SO500162,15,shipped_not_billed
SO500074,5,shipped_not_billed
SO500283,14,shipped_not_billed
SO500248,7,shipped_not_billed
SO500683,3,shipped_not_billed
SO500468,5,shipped_not_billed
SO500260,16,shipped_not_billed
SO500320,22,shipped_not_billed
SO500228,24,shipped_not_billed
SO500270,26,shipped_not_billed
SO500628,6,shipped_not_billed
SO500074,3,shipped_not_billed
SO500082,3,shipped_not_billed
SO500072,20,shipped_not_billed
SO500155,4,shipped_not_billed
SO500043,16,shipped_not_billed
SO500832,8,shipped_not_billed
SO500772,23,shipped_not_billed
SO500686,10,shipped_not_billed
SO500606,27,shipped_not_billed
SO500262,23,shipped_not_billed
SO500071,2,shipped_not_billed
SO500653,5,shipped_not_billed
SO500505,11,shipped_not_billed
SO500017,2,shipped_not_billed
SO500302,23,shipped_not_billed
SO500014,10,shipped_not_billed
SO500292,16,shipped_not_billed
SO500509,9,shipped_not_billed
SO500323,4,shipped_not_billed
SO500351,11,shipped_not_billed
SO500823,22,shipped_not_billed
