issue,distributor_id,part_number,week_start
duplicate_line,D01,IG-1014,2024-04-01
duplicate_line,D01,IG-1012,2024-04-22
duplicate_line,D01,PW-1035,2024-04-29
duplicate_line,D01,SC-1016,2024-05-06
duplicate_line,D01,IG-1010,2024-05-06
duplicate_line,D01,SC-1018,2024-06-10
duplicate_line,D01,PM-1002,2024-06-10
duplicate_line,D01,IG-1008,2024-07-29
duplicate_line,D01,IS-1022,2024-09-23
resubmitted_week,D01,,2024-10-28
duplicate_line,D01,IG-1010,2024-11-04
invalid_qty,D01,PW-1034,2024-12-30
invalid_qty,D01,SC-1018,2025-03-31
duplicate_line,D01,IS-1023,2025-04-14
duplicate_line,D01,PM-1007,2025-05-12
duplicate_line,D01,IG-1008,2025-06-30
duplicate_line,D01,LD-1037,2025-07-07
duplicate_line,D01,IG-1014,2025-08-18
duplicate_line,D01,LD-1037,2025-09-15
duplicate_line,D01,LD-1037,2025-12-15
duplicate_line,D01,IS-1022,2026-02-23
duplicate_line,D01,LD-1037,2026-03-30
unmapped_sku,D01,IG-1010,2026-04-06
unmapped_sku,D01,IG-1008,2026-04-06
unmapped_sku,D01,IG-1010,2026-04-13
unmapped_sku,D01,IG-1008,2026-04-13
unmapped_sku,D01,IG-1010,2026-04-20
unmapped_sku,D01,IG-1008,2026-04-20
unmapped_sku,D01,IG-1010,2026-04-27
unmapped_sku,D01,IG-1008,2026-04-27
unmapped_sku,D01,IG-1010,2026-05-04
unmapped_sku,D01,IG-1008,2026-05-04
invalid_qty,D01,IG-1014,2026-05-04
unmapped_sku,D01,IG-1010,2026-05-11
unmapped_sku,D01,IG-1008,2026-05-11
unmapped_sku,D01,IG-1010,2026-05-18
unmapped_sku,D01,IG-1008,2026-05-18
unmapped_sku,D01,IG-1010,2026-05-25
unmapped_sku,D01,IG-1008,2026-05-25
unmapped_sku,D01,IG-1010,2026-06-01
unmapped_sku,D01,IG-1008,2026-06-01
unmapped_sku,D01,IG-1010,2026-06-08
unmapped_sku,D01,IG-1008,2026-06-08
unmapped_sku,D01,IG-1010,2026-06-15
unmapped_sku,D01,IG-1008,2026-06-15
unmapped_sku,D01,IG-1010,2026-06-22
unmapped_sku,D01,IG-1008,2026-06-22
duplicate_line,D01,SC-1018,2026-06-22
invalid_qty,D02,LD-1042,2024-01-01
duplicate_line,D02,SC-1015,2024-03-04
duplicate_line,D02,PW-1031,2024-03-11
duplicate_line,D02,PW-1031,2024-04-08
duplicate_line,D02,PW-1031,2024-04-08
duplicate_line,D02,SC-1018,2024-05-20
resubmitted_week,D02,,2024-06-17
duplicate_line,D02,LD-1042,2024-07-08
duplicate_line,D02,IS-1022,2024-07-08
duplicate_line,D02,SC-1019,2024-07-15
duplicate_line,D02,SC-1020,2024-08-19
duplicate_line,D02,PW-1030,2024-08-19
duplicate_line,D02,SC-1021,2024-08-26
duplicate_line,D02,LD-1041,2024-09-23
duplicate_line,D02,PW-1030,2024-11-25
duplicate_line,D02,PW-1031,2024-12-16
