invoice_id,order_id,line_id,invoice_date,qty_billed,unit_price_billed,amount
INV900001,SO500872,2,2024-01-01,30,40.8771,1226.31
INV900002,SO500612,3,2024-01-01,100,6.014,601.4
INV900003,SO500460,13,2024-01-01,2000,0.4416,883.2
INV900004,SO500460,14,2024-01-01,2500,0.864,2160.0
INV900005,SO500462,13,2024-01-01,1000,3.3408,3340.8
INV900006,SO500762,1,2024-01-01,50,6.138,306.9
INV900007,SO500612,6,2024-01-01,300,12.2802,3684.06
INV900008,SO500762,17,2024-01-01,500,3.4452,1722.6
INV900009,SO500435,4,2024-01-01,40,35.8876,1435.5
INV900010,SO500762,6,2024-01-01,250,1.9701,492.52
INV900011,SO500283,22,2024-01-01,1500,0.4462,669.3
INV900012,SO500762,19,2024-01-01,500,3.6828,1841.4
INV900013,SO500012,2,2024-01-01,1500,1.5778,2366.7
INV900014,SO500296,6,2024-01-01,100,51.1772,5117.72
INV900015,SO500010,23,2024-01-01,1500,0.882,1323.0
INV900016,SO500285,15,2024-01-02,500,3.3562,1678.1
INV900017,SO500573,2,2024-01-02,450,19.344,8704.8
INV900018,SO500612,10,2024-01-02,400,12.7555,5102.2
INV900019,SO500283,2,2024-01-02,4000,0.4171,1668.4
INV900020,SO500612,11,2024-01-02,500,1.5617,780.85
INV900021,SO500610,16,2024-01-02,2500,0.873,2182.5
INV900022,SO500616,6,2024-01-02,70,35.5214,2486.5
INV900023,SO500431,11,2024-01-02,250,8.0948,2023.7
INV900024,SO500429,11,2024-01-02,2000,0.9898,1979.6
INV900025,SO500285,6,2024-01-02,1500,3.7248,5587.2
INV900026,SO500612,18,2024-01-02,350,11.349,3972.15
INV900027,SO500758,18,2024-01-02,1000,0.5247,524.7
INV900028,SO500608,28,2024-01-02,3000,0.4365,1309.5
INV900029,SO500760,21,2024-01-02,1000,1.0692,1069.2
INV900030,SO500300,4,2024-01-02,550,19.5455,10750.02
INV900031,SO500285,11,2024-01-02,400,11.349,4539.6
INV900032,SO500010,19,2024-01-02,2000,0.9898,1979.6
INV900033,SO500762,4,2024-01-02,350,12.5334,4386.69
INV900034,SO500012,17,2024-01-02,800,11.5248,9219.84
INV900035,SO500012,6,2024-01-02,1000,3.7632,3763.2
INV900036,SO500758,24,2024-01-02,2000,0.4455,891.0
INV900037,SO500462,9,2024-01-02,150,5.952,892.8
INV900038,SO500285,1,2024-01-02,750,1.5617,1171.28
INV900039,SO500462,10,2024-01-02,500,3.3216,1660.8
INV900040,SO500610,7,2024-01-03,3500,0.4171,1459.85
INV900041,SO500012,14,2024-01-03,750,1.9502,1462.65
INV900042,SO500008,26,2024-01-03,3000,0.5096,1528.8
INV900043,SO500300,6,2024-01-03,750,13.8807,10410.52
INV900044,SO500285,13,2024-01-03,1750,3.3756,5907.3
INV900045,SO500431,17,2024-01-03,450,12.4068,5583.06
INV900046,SO500020,2,2024-01-03,600,19.747,11848.2
INV900047,SO500448,5,2024-01-03,350,8.3006,2905.21
INV900048,SO500431,20,2024-01-03,500,1.9502,975.1
INV900049,SO500762,8,2024-01-03,350,11.6424,4074.84
INV900050,SO500608,3,2024-01-03,5000,0.388,1940.0
INV900051,SO500285,7,2024-01-03,1050,11.4072,11977.56
INV900052,SO500300,5,2024-01-03,700,10.0007,7000.49
INV900053,SO500573,3,2024-01-03,150,14.3232,2148.48
INV900054,SO500283,8,2024-01-03,3500,1.0476,3666.6
INV900055,SO500573,1,2024-01-03,300,13.7376,4121.28
INV900056,SO500573,4,2024-01-03,200,11.7024,2340.48
INV900057,SO500016,10,2024-01-03,80,35.8876,2871.01
INV900058,SO500758,6,2024-01-03,2000,0.396,792.0
INV900059,SO500431,4,2024-01-03,1500,3.4104,5115.6
INV900060,SO500760,5,2024-01-03,1000,0.4554,455.4
INV900061,SO500008,12,2024-01-03,2000,0.5194,1038.8
INV900062,SO500466,6,2024-01-03,80,47.8464,3827.71
INV900063,SO500610,23,2024-01-04,2500,0.97,2425.0
INV900064,SO500016,4,2024-01-04,220,51.7048,11375.06
INV900065,SO500435,2,2024-01-04,40,36.848,1473.92
INV900066,SO500448,3,2024-01-04,350,10.1038,3536.33
INV900067,SO500608,7,2024-01-04,1000,0.5141,514.1
INV900068,SO500020,5,2024-01-04,500,11.9462,5973.1
INV900069,SO500760,9,2024-01-04,1500,0.891,1336.5
INV900070,SO500573,7,2024-01-04,300,8.1312,2439.36
INV900071,SO500762,7,2024-01-04,500,3.8016,1900.8
INV900072,SO500431,8,2024-01-04,1000,3.7632,3763.2
INV900073,SO500466,8,2024-01-04,40,36.096,1443.84
INV900074,SO500158,1,2024-01-04,1000,0.4365,436.5
INV900075,SO500296,9,2024-01-04,60,36.472,2188.32
INV900076,SO500872,6,2024-01-04,60,52.2324,3133.94
INV900077,SO500285,14,2024-01-04,250,1.9303,482.58
INV900078,SO500616,7,2024-01-04,40,36.472,1458.88
INV900079,SO500760,24,2024-01-04,1000,0.4257,425.7
INV900080,SO500612,4,2024-01-04,300,8.0122,2403.66
INV900081,SO500616,4,2024-01-04,40,48.3448,1933.79
INV900082,SO500462,20,2024-01-04,500,1.9104,955.2
INV900083,SO500158,12,2024-01-04,3000,0.2425,727.5
INV900084,SO500620,4,2024-01-04,350,11.8243,4138.5
INV900085,SO500458,13,2024-01-04,3000,0.2688,806.4
INV900086,SO500462,5,2024-01-04,400,11.2896,4515.84
INV900087,SO500431,16,2024-01-04,1000,3.6456,3645.6
INV900088,SO500758,19,2024-01-04,2000,0.2475,495.0
INV900089,SO500458,25,2024-01-04,2000,0.4992,998.4
INV900090,SO500448,4,2024-01-04,350,11.9462,4181.17
INV900091,SO500308,1,2024-01-04,1000,0.441,441.0
INV900092,SO500760,19,2024-01-04,1500,0.6633,994.95
INV900093,SO500612,7,2024-01-04,500,3.6084,1804.2
INV900094,SO500283,7,2024-01-04,3000,0.873,2619.0
INV900095,SO500016,5,2024-01-04,80,36.848,2947.84
INV900096,SO500466,1,2024-01-04,60,50.6496,3038.98
INV900097,SO500762,15,2024-01-05,150,11.3949,1709.24
INV900098,SO500285,17,2024-01-05,1500,3.6084,5412.6
INV900099,SO500573,6,2024-01-05,450,8.5728,3857.76
INV900100,SO500620,1,2024-01-05,300,13.8807,4164.21
INV900101,SO500762,13,2024-01-05,500,3.4254,1712.7
INV900102,SO500283,11,2024-01-05,3000,0.97,2910.0
INV900103,SO500872,4,2024-01-05,10,50.1831,501.83
INV900104,SO500158,16,2024-01-05,5000,0.2716,1358.0
INV900105,SO500283,16,2024-01-05,4000,0.6499,2599.6
INV900106,SO500466,11,2024-01-05,150,56.4192,8462.88
INV900107,SO500458,24,2024-01-05,4000,0.384,1536.0
INV900108,SO500010,10,2024-01-05,6000,0.4214,2528.4
INV900109,SO500573,5,2024-01-05,400,9.8976,3959.04
INV900110,SO500300,3,2024-01-05,350,8.6621,3031.74
INV900111,SO500435,1,2024-01-05,80,57.5946,4607.57
INV900112,SO500900,1,2024-01-05,350,10.2069,3572.41
INV900113,SO500872,9,2024-01-05,80,58.1823,4654.58
INV900114,SO500762,18,2024-01-05,200,11.583,2316.6
INV900115,SO500431,13,2024-01-05,100,11.466,1146.6
INV900116,SO500300,1,2024-01-05,200,14.4724,2894.48
INV900117,SO500012,13,2024-01-05,800,12.887,10309.6
INV900118,SO500612,16,2024-01-05,250,11.1647,2791.18
INV900119,SO500610,17,2024-01-05,3000,0.6499,1949.7
INV900120,SO500429,25,2024-01-05,2500,0.882,2205.0
INV900121,SO500610,13,2024-01-05,1500,1.0476,1571.4
INV900122,SO500620,3,2024-01-05,250,8.6621,2165.52
INV900123,SO500012,12,2024-01-05,500,11.2798,5639.9
INV900124,SO500458,6,2024-01-05,2000,0.1728,345.6
INV900125,SO500020,4,2024-01-05,300,14.0238,4207.14
INV900126,SO500012,7,2024-01-05,1750,3.6456,6379.8
INV900127,SO500020,1,2024-01-05,300,8.3006,2490.18
INV900128,SO500429,15,2024-01-05,2000,0.98,1960.0
INV900129,SO500462,15,2024-01-05,1000,1.5456,1545.6
INV900130,SO500016,8,2024-01-05,60,49.6762,2980.57
INV900131,SO500008,6,2024-01-05,7000,0.392,2744.0
INV900132,SO500448,1,2024-01-05,200,14.6216,2924.32
INV900133,SO500308,7,2024-01-05,2000,0.2744,548.8
INV900134,SO500610,2,2024-01-05,1500,0.4462,669.3
INV900135,SO500012,9,2024-01-05,700,11.466,8026.2
