distributor_id,part_number,snapshot_week,units_on_hand
D01,SC-1019,2024-01-01,3159
D01,SC-1019,2024-01-08,3215
D01,SC-1019,2024-01-15,3047
D01,SC-1019,2024-01-22,2920
D01,SC-1019,2024-01-29,2618
D01,SC-1019,2024-02-05,2890
D01,SC-1019,2024-02-12,2710
D01,SC-1019,2024-02-19,2964
D01,SC-1019,2024-02-26,3101
D01,SC-1019,2024-03-04,3100
D01,SC-1019,2024-03-11,3078
D01,SC-1019,2024-03-18,3121
D01,SC-1019,2024-03-25,3152
D01,SC-1019,2024-04-01,3174
D01,SC-1019,2024-04-08,2879
D01,SC-1019,2024-04-15,2810
D01,SC-1019,2024-04-22,3104
D01,SC-1019,2024-04-29,2769
D01,SC-1019,2024-05-06,2634
D01,SC-1019,2024-05-13,2591
D01,SC-1019,2024-05-20,2885
D01,SC-1019,2024-05-27,2567
D01,SC-1019,2024-06-03,2510
D01,SC-1019,2024-06-10,2340
D01,SC-1019,2024-06-17,2238
D01,SC-1019,2024-06-24,2217
D01,SC-1019,2024-07-01,2330
D01,SC-1019,2024-07-08,2383
D01,SC-1019,2024-07-15,2448
D01,SC-1019,2024-07-22,2659
D01,SC-1019,2024-07-29,2662
D01,SC-1019,2024-08-05,2490
D01,SC-1019,2024-08-12,2301
D01,SC-1019,2024-08-19,2023
D01,SC-1019,2024-08-26,1810
D01,SC-1019,2024-09-02,1801
D01,SC-1019,2024-09-09,1755
D01,SC-1019,2024-09-16,1900
D01,SC-1019,2024-09-23,2386
D01,SC-1019,2024-09-30,2023
D01,SC-1019,2024-10-07,3194
D01,SC-1019,2024-10-14,3249
D01,SC-1019,2024-10-21,3483
D01,SC-1019,2024-10-28,3204
D01,SC-1019,2024-11-04,3216
D01,SC-1019,2024-11-11,3854
D01,SC-1019,2024-11-18,3555
D01,SC-1019,2024-11-25,3581
D01,SC-1019,2024-12-02,3602
D01,SC-1019,2024-12-09,3622
D01,SC-1019,2024-12-16,3338
D01,SC-1019,2024-12-23,3659
D01,SC-1019,2024-12-30,3658
D01,SC-1019,2025-01-06,3488
D01,SC-1019,2025-01-13,3735
D01,SC-1019,2025-01-20,3950
D01,SC-1019,2025-01-27,3588
D01,SC-1019,2025-02-03,3247
D01,SC-1019,2025-02-10,3577
D01,SC-1019,2025-02-17,3703
D01,SC-1019,2025-02-24,4107
D01,SC-1019,2025-03-03,4215
D01,SC-1019,2025-03-10,4048
D01,SC-1019,2025-03-17,4036
D01,SC-1019,2025-03-24,3694
D01,SC-1019,2025-03-31,3718
D01,SC-1019,2025-04-07,3347
D01,SC-1019,2025-04-14,3091
D01,SC-1019,2025-04-21,2732
D01,SC-1019,2025-04-28,2453
D01,SC-1019,2025-05-05,2305
D01,SC-1019,2025-05-12,1878
D01,SC-1019,2025-05-19,1363
D01,SC-1019,2025-05-26,1518
D01,SC-1019,2025-06-02,1810
D01,SC-1019,2025-06-09,1402
D01,SC-1019,2025-06-16,2683
D01,SC-1019,2025-06-23,2701
D01,SC-1019,2025-06-30,3654
D01,SC-1019,2025-07-07,3343
D01,SC-1019,2025-07-14,3800
D01,SC-1019,2025-07-21,3678
D01,SC-1019,2025-07-28,3696
