distributor_id,part_number,week_start,units_sold,resale_value
D01,SC-1019,2024-01-01,274,2702.94
D01,SC-1019,2024-01-08,244,2439.36
D01,SC-1019,2024-01-15,317,3041.5
D01,SC-1019,2024-01-22,278,2692.65
D01,SC-1019,2024-01-29,302,2904.03
D01,SC-1019,2024-02-05,328,3237.11
D01,SC-1019,2024-02-12,330,3295.91
D01,SC-1019,2024-02-19,346,3535.49
D01,SC-1019,2024-02-26,312,2933.33
D01,SC-1019,2024-03-04,302,2997.58
D01,SC-1019,2024-03-11,322,3197.9
D01,SC-1019,2024-03-18,256,2541.79
D01,SC-1019,2024-03-25,269,2646.71
D01,SC-1019,2024-04-01,278,2610.06
D01,SC-1019,2024-04-08,295,2853.03
D01,SC-1019,2024-04-15,369,3551.99
D01,SC-1019,2024-04-22,306,2975.52
D01,SC-1019,2024-04-29,335,3288.24
D01,SC-1019,2024-05-06,435,4099.29
D01,SC-1019,2024-05-13,342,3434.46
D01,SC-1019,2024-05-20,406,3977.14
D01,SC-1019,2024-05-27,318,2995.64
D01,SC-1019,2024-06-03,357,3357.53
D01,SC-1019,2024-06-10,320,3288.73
D01,SC-1019,2024-06-17,352,3350.0
D01,SC-1019,2024-06-24,421,4191.73
D01,SC-1019,2024-07-01,287,2914.97
D01,SC-1019,2024-07-08,397,4085.4
D01,SC-1019,2024-07-15,385,3660.93
D01,SC-1019,2024-07-22,339,3462.46
D01,SC-1019,2024-07-29,297,2992.99
D01,SC-1019,2024-08-05,372,3814.59
D01,SC-1019,2024-08-12,339,3505.19
D01,SC-1019,2024-08-19,378,3569.94
D01,SC-1019,2024-08-26,364,3637.85
D01,SC-1019,2024-09-02,459,4497.18
D01,SC-1019,2024-09-09,346,3373.95
D01,SC-1019,2024-09-16,305,2911.7
D01,SC-1019,2024-09-23,364,3469.09
D01,SC-1019,2024-09-30,364,3637.03
D01,SC-1019,2024-10-07,429,4278.23
D01,SC-1019,2024-10-14,395,4059.96
D01,SC-1019,2024-10-21,366,3728.69
D01,SC-1019,2024-10-28,430,4126.76
D01,SC-1019,2024-11-04,288,2681.52
D01,SC-1019,2024-11-11,312,3103.34
D01,SC-1019,2024-11-18,299,3025.2
D01,SC-1019,2024-11-25,324,3233.86
D01,SC-1019,2024-12-02,280,2649.68
D01,SC-1019,2024-12-09,379,3867.08
D01,SC-1019,2024-12-16,335,3163.01
D01,SC-1019,2024-12-23,279,2724.48
D01,SC-1019,2024-12-30,301,2947.36
D01,SC-1019,2025-01-06,370,3530.64
D01,SC-1019,2025-01-13,404,3788.15
D01,SC-1019,2025-01-20,485,4857.43
D01,SC-1019,2025-01-27,562,5738.43
D01,SC-1019,2025-02-03,391,4016.4
D01,SC-1019,2025-02-10,320,3161.86
D01,SC-1019,2025-02-17,273,2592.63
D01,SC-1019,2025-02-24,397,3819.02
D01,SC-1019,2025-03-03,342,3409.85
D01,SC-1019,2025-03-10,367,3773.23
D01,SC-1019,2025-03-17,361,3403.03
D01,SC-1019,2025-03-24,393,3960.43
D01,SC-1019,2025-03-31,476,4654.27
D01,SC-1019,2025-04-07,420,4242.11
D01,SC-1019,2025-04-14,406,4201.25
D01,SC-1019,2025-04-21,359,3372.7
D01,SC-1019,2025-04-28,330,3196.38
D01,SC-1019,2025-05-05,397,4064.87
D01,SC-1019,2025-05-12,427,4367.92
D01,SC-1019,2025-05-19,565,5501.01
D01,SC-1019,2025-05-26,445,4544.73
D01,SC-1019,2025-06-02,508,4824.17
D01,SC-1019,2025-06-09,408,3924.48
D01,SC-1019,2025-06-16,369,3711.04
D01,SC-1019,2025-06-23,382,3702.68
D01,SC-1019,2025-06-30,396,3830.37
D01,SC-1019,2025-07-07,462,4738.59
D01,SC-1019,2025-07-14,293,2911.98
D01,SC-1019,2025-07-21,371,3713.3
D01,SC-1019,2025-07-28,282,2713.31
D01,SC-1019,2025-08-04,366,3498.71
D01,SC-1019,2025-08-11,332,3203.84
D01,SC-1019,2025-08-18,301,2853.18
D01,SC-1019,2025-08-25,302,3090.24
D01,SC-1019,2025-09-01,271,2598.88
D01,SC-1019,2025-09-08,314,3107.94
D01,SC-1019,2025-09-15,270,2735.78
D01,SC-1019,2025-09-22,236,2393.51
D01,SC-1019,2025-09-29,230,2248.82
D01,SC-1019,2025-10-06,281,2760.41
D01,SC-1019,2025-10-13,342,3544.72
D01,SC-1019,2025-10-20,272,2726.25
D01,SC-1019,2025-10-27,257,2614.32
D01,SC-1019,2025-11-03,269,2764.01
D01,SC-1019,2025-11-10,309,3139.97
D01,SC-1019,2025-11-17,260,2682.07
D01,SC-1019,2025-11-24,234,2182.39
