shipment_id,order_id,line_id,ship_date,qty_shipped
SH700001,SO500001,1,2024-05-14,300
SH700002,SO500002,1,2024-05-07,300
SH700003,SO500003,1,2024-05-24,300
SH700004,SO500004,1,2024-04-22,300
SH700005,SO500005,1,2024-04-18,300
SH700006,SO500006,1,2024-04-25,300
SH700007,SO500007,1,2024-04-05,300
SH700008,SO500008,1,2024-03-27,300
SH700009,SO500009,1,2024-03-19,300
SH700010,SO500010,1,2024-03-11,300
SH700011,SO500011,1,2024-03-08,300
SH700012,SO500012,1,2024-02-26,300
SH700013,SO500013,1,2024-02-19,300
SH700014,SO500014,1,2024-02-14,150
SH700015,SO500014,1,2024-02-29,150
SH700016,SO500015,1,2024-02-09,300
SH700017,SO500016,1,2024-02-20,300
SH700018,SO500017,1,2024-01-22,150
SH700019,SO500017,1,2024-02-09,150
SH700020,SO500018,1,2024-01-17,150
SH700021,SO500018,1,2024-02-08,150
SH700022,SO500019,1,2024-01-09,300
SH700023,SO500020,1,2024-01-04,300
SH700024,SO500021,1,2024-05-23,400
SH700025,SO500022,1,2024-06-06,300
SH700026,SO500023,1,2024-06-10,150
SH700027,SO500024,1,2024-06-20,250
SH700028,SO500025,1,2024-06-26,400
SH700029,SO500026,1,2024-07-03,400
SH700030,SO500027,1,2024-07-11,450
SH700031,SO500028,1,2024-07-15,450
SH700032,SO500029,1,2024-07-22,550
SH700033,SO500030,1,2024-07-29,300
SH700034,SO500031,1,2024-08-09,200
SH700035,SO500032,1,2024-08-15,150
SH700036,SO500033,1,2024-08-20,100
SH700037,SO500034,1,2024-08-29,150
SH700038,SO500035,1,2024-09-04,450
SH700039,SO500036,1,2024-09-10,300
SH700040,SO500037,1,2024-09-20,450
SH700041,SO500038,1,2024-09-25,850
SH700042,SO500039,1,2024-10-08,650
SH700043,SO500040,1,2024-10-10,950
SH700044,SO500041,1,2024-10-18,450
SH700045,SO500042,1,2024-10-21,600
SH700046,SO500043,1,2024-10-31,150
SH700047,SO500044,1,2024-11-04,300
SH700048,SO500044,1,2024-11-11,200
SH700049,SO500045,1,2024-11-11,750
SH700050,SO500046,1,2024-11-25,350
SH700051,SO500047,1,2024-12-05,300
SH700052,SO500048,1,2024-12-10,400
SH700053,SO500049,1,2024-12-19,50
SH700054,SO500049,1,2024-12-23,50
SH700055,SO500050,1,2024-12-23,550
SH700056,SO500051,1,2025-01-01,300
SH700057,SO500052,1,2025-01-09,200
SH700058,SO500053,1,2025-01-15,650
SH700059,SO500054,1,2025-01-21,700
SH700060,SO500055,1,2025-01-29,200
SH700061,SO500056,1,2025-02-05,50
SH700062,SO500056,1,2025-02-19,100
SH700063,SO500057,1,2025-02-13,650
SH700064,SO500058,1,2025-02-19,300
SH700065,SO500059,1,2025-02-28,800
