dist_code,dist_sku,part_number
NSC,NSC-SC1019,SC-1019
NSC,NSC-PW1035,PW-1035
NSC,NSC-SC1016,SC-1016
NSC,NSC-PW1032,PW-1032
NSC,NSC-SC1018,SC-1018
NSC,NSC-LD1040,LD-1040
NSC,NSC-PM1002,PM-1002
NSC,NSC-PW1031,PW-1031
NSC,NSC-PW1033,PW-1033
NSC,NSC-LD1039,LD-1039
NSC,NSC-IG1010,IG-1010
NSC,NSC-LD1037,LD-1037
NSC,NSC-PM1003,PM-1003
NSC,NSC-IS1022,IS-1022
NSC,NSC-IG1014,IG-1014
NSC,NSC-SC1021,SC-1021
NSC,NSC-IS1025,IS-1025
NSC,NSC-PM1006,PM-1006
NSC,NSC-IS1023,IS-1023
NSC,NSC-PW1030,PW-1030
NSC,NSC-IG1012,IG-1012
NSC,NSC-PM1001,PM-1001
NSC,NSC-IG1013,IG-1013
NSC,NSC-IS1028,IS-1028
NSC,NSC-SC1017,SC-1017
NSC,NSC-LD1042,LD-1042
NSC,NSC-PM1007,PM-1007
NSC,NSC-IG1008,IG-1008
NSC,NSC-PW1034,PW-1034
PRE,PRE-LD1041,LD-1041
PRE,PRE-PW1035,PW-1035
PRE,PRE-PM1003,PM-1003
PRE,PRE-SC1018,SC-1018
PRE,PRE-SC1019,SC-1019
PRE,PRE-SC1015,SC-1015
PRE,PRE-LD1042,LD-1042
PRE,PRE-SC1016,SC-1016
PRE,PRE-LD1038,LD-1038
PRE,PRE-PM1007,PM-1007
PRE,PRE-PM1002,PM-1002
PRE,PRE-LD1036,LD-1036
PRE,PRE-PW1031,PW-1031
PRE,PRE-IS1028,IS-1028
PRE,PRE-PM1004,PM-1004
PRE,PRE-LD1039,LD-1039
PRE,PRE-IG1009,IG-1009
PRE,PRE-IG1010,IG-1010
PRE,PRE-SC1020,SC-1020
PRE,PRE-IS1022,IS-1022
PRE,PRE-PM1006,PM-1006
PRE,PRE-SC1021,SC-1021
PRE,PRE-PW1032,PW-1032
PRE,PRE-PW1030,PW-1030
PRE,PRE-PW1034,PW-1034
PRE,PRE-LD1037,LD-1037
PRE,PRE-IG1014,IG-1014
PRE,PRE-PM1005,PM-1005
PRE,PRE-PW1033,PW-1033
MRS,MRS-LD1041,LD-1041
MRS,MRS-IG1012,IG-1012
MRS,MRS-IG1014,IG-1014
MRS,MRS-SC1018,SC-1018
MRS,MRS-PW1032,PW-1032
MRS,MRS-IG1008,IG-1008
MRS,MRS-LD1039,LD-1039
MRS,MRS-PW1034,PW-1034
MRS,MRS-SC1015,SC-1015
MRS,MRS-PW1031,PW-1031
MRS,MRS-LD1037,LD-1037
MRS,MRS-LD1040,LD-1040
MRS,MRS-IS1026,IS-1026
MRS,MRS-IS1023,IS-1023
MRS,MRS-PM1001,PM-1001
MRS,MRS-IS1024,IS-1024
MRS,MRS-PM1002,PM-1002
MRS,MRS-SC1020,SC-1020
MRS,MRS-PM1004,PM-1004
MRS,MRS-IS1022,IS-1022
MRS,MRS-IS1028,IS-1028
MRS,MRS-SC1017,SC-1017
MRS,MRS-PM1003,PM-1003
MRS,MRS-PW1033,PW-1033
MRS,MRS-IS1027,IS-1027
MRS,MRS-PW1029,PW-1029
MRS,MRS-SC1019,SC-1019
MRS,MRS-PW1030,PW-1030
MRS,MRS-PM1007,PM-1007
SED,SED-IG1010,IG-1010
SED,SED-SC1021,SC-1021
SED,SED-SC1016,SC-1016
SED,SED-IS1022,IS-1022
SED,SED-IS1028,IS-1028
SED,SED-LD1038,LD-1038
SED,SED-SC1018,SC-1018
SED,SED-SC1017,SC-1017
SED,SED-IS1027,IS-1027
SED,SED-IS1026,IS-1026
SED,SED-PW1034,PW-1034
SED,SED-IG1011,IG-1011
SED,SED-LD1039,LD-1039
SED,SED-PW1031,PW-1031
SED,SED-PM1005,PM-1005
SED,SED-PM1007,PM-1007
SED,SED-PW1032,PW-1032
SED,SED-PW1029,PW-1029
SED,SED-PW1035,PW-1035
SED,SED-SC1020,SC-1020
SED,SED-PM1003,PM-1003
SED,SED-IG1014,IG-1014
SED,SED-SC1015,SC-1015
SED,SED-LD1040,LD-1040
SED,SED-LD1042,LD-1042
SED,SED-IG1008,IG-1008
SED,SED-PW1030,PW-1030
SED,SED-IG1012,IG-1012
SED,SED-SC1019,SC-1019
LST,LST-SC1021,SC-1021
LST,LST-PM1005,PM-1005
LST,LST-LD1040,LD-1040
LST,LST-LD1036,LD-1036
LST,LST-PW1029,PW-1029
LST,LST-IS1026,IS-1026
LST,LST-LD1037,LD-1037
LST,LST-IS1024,IS-1024
LST,LST-SC1018,SC-1018
LST,LST-PM1003,PM-1003
LST,LST-IS1027,IS-1027
LST,LST-PW1033,PW-1033
LST,LST-SC1015,SC-1015
LST,LST-IG1011,IG-1011
LST,LST-IS1023,IS-1023
LST,LST-PM1002,PM-1002
LST,LST-PW1035,PW-1035
LST,LST-SC1017,SC-1017
LST,LST-PM1007,PM-1007
LST,LST-PM1006,PM-1006
LST,LST-IG1008,IG-1008
LST,LST-IG1014,IG-1014
LST,LST-PW1032,PW-1032
LST,LST-IS1025,IS-1025
LST,LST-SC1020,SC-1020
LST,LST-PM1004,PM-1004
LST,LST-IS1022,IS-1022
LST,LST-LD1041,LD-1041
LST,LST-SC1019,SC-1019
APG,APG-IS1026,IS-1026
APG,APG-IG1014,IG-1014
APG,APG-IG1009,IG-1009
APG,APG-IS1027,IS-1027
APG,APG-PM1005,PM-1005
APG,APG-LD1040,LD-1040
APG,APG-SC1020,SC-1020
APG,APG-PW1030,PW-1030
APG,APG-PW1031,PW-1031
APG,APG-PM1007,PM-1007
APG,APG-IS1028,IS-1028
APG,APG-IG1013,IG-1013
APG,APG-SC1018,SC-1018
APG,APG-IG1010,IG-1010
APG,APG-SC1016,SC-1016
APG,APG-PW1034,PW-1034
APG,APG-SC1017,SC-1017
APG,APG-LD1037,LD-1037
APG,APG-LD1036,LD-1036
APG,APG-PM1001,PM-1001
APG,APG-IS1025,IS-1025
APG,APG-PM1006,PM-1006
APG,APG-IG1012,IG-1012
APG,APG-LD1041,LD-1041
APG,APG-PM1002,PM-1002
APG,APG-PW1032,PW-1032
APG,APG-IS1022,IS-1022
APG,APG-PM1003,PM-1003
APG,APG-PW1033,PW-1033
