distributor_id,part_number,week_start,units_sold,resale_value
D01,IG-1008,2024-01-01,103.0,4474.88
D01,IG-1008,2024-01-08,115.0,4675.28
D01,IG-1008,2024-01-15,131.0,5326.01
D01,IG-1008,2024-01-22,147.0,6345.22
D01,IG-1008,2024-01-29,168.0,7506.469999999999
D01,IG-1008,2024-02-05,127.0,5351.0
D01,IG-1008,2024-02-12,152.0,6761.95
D01,IG-1008,2024-02-19,151.0,6352.45
D01,IG-1008,2024-02-26,150.0,6135.2
D01,IG-1008,2024-03-04,139.0,5850.34
D01,IG-1008,2024-03-11,134.0,5402.13
D01,IG-1008,2024-03-18,122.0,4932.3
D01,IG-1008,2024-03-25,123.0,5209.29
D01,IG-1008,2024-04-01,155.0,6956.24
D01,IG-1008,2024-04-08,148.0,6353.91
D01,IG-1008,2024-04-15,142.0,6359.27
D01,IG-1008,2024-04-22,169.0,7237.3
D01,IG-1008,2024-04-29,150.0,6529.54
D01,IG-1008,2024-05-06,136.0,5989.24
D01,IG-1008,2024-05-13,151.0,6093.51
D01,IG-1008,2024-05-20,179.0,7325.0
D01,IG-1008,2024-05-27,137.0,5552.88
D01,IG-1008,2024-06-03,165.0,7197.83
D01,IG-1008,2024-06-10,159.0,7015.34
D01,IG-1008,2024-06-17,144.0,6302.02
D01,IG-1008,2024-06-24,155.0,6682.04
D01,IG-1008,2024-07-01,128.0,5581.54
D01,IG-1008,2024-07-08,164.0,7204.879999999999
D01,IG-1008,2024-07-15,132.0,5734.46
D01,IG-1008,2024-07-22,189.0,8124.77
D01,IG-1008,2024-07-29,159.0,7054.36
D01,IG-1008,2024-08-05,147.0,6140.56
D01,IG-1008,2024-08-12,190.0,8241.3
D01,IG-1008,2024-08-19,136.0,5863.639999999999
D01,IG-1008,2024-08-26,141.0,6249.9
D01,IG-1008,2024-09-02,119.0,5223.34
D01,IG-1008,2024-09-09,190.0,7881.37
D01,IG-1008,2024-09-16,205.0,9195.630000000001
D01,IG-1008,2024-09-23,120.0,5243.93
D01,IG-1008,2024-09-30,135.0,5815.58
D01,IG-1008,2024-10-07,154.0,6512.65
D01,IG-1008,2024-10-14,140.0,5660.86
D01,IG-1008,2024-10-21,150.0,6065.58
D01,IG-1008,2024-10-28,148.0,6009.21
D01,IG-1008,2024-11-04,159.0,6865.7
D01,IG-1008,2024-11-11,129.0,5332.5
D01,IG-1008,2024-11-18,154.0,6768.41
D01,IG-1008,2024-11-25,126.0,5431.9
D01,IG-1008,2024-12-02,141.0,5915.6
D01,IG-1008,2024-12-09,116.0,4905.27
D01,IG-1008,2024-12-16,142.0,6233.3099999999995
D01,IG-1008,2024-12-23,139.0,5901.17
D01,IG-1008,2024-12-30,176.0,7380.110000000001
D01,IG-1008,2025-01-06,152.0,6583.370000000001
D01,IG-1008,2025-01-13,158.0,6632.29
D01,IG-1008,2025-01-20,156.0,6693.5
D01,IG-1008,2025-01-27,115.0,4720.22
D01,IG-1008,2025-02-03,118.0,4771.7300000000005
D01,IG-1008,2025-02-10,154.0,6301.09
D01,IG-1008,2025-02-17,171.0,7195.379999999999
D01,IG-1008,2025-02-24,160.0,6531.379999999999
D01,IG-1008,2025-03-03,148.0,6014.81
D01,IG-1008,2025-03-10,164.0,6812.73
D01,IG-1008,2025-03-17,164.0,7242.67
D01,IG-1008,2025-03-24,196.0,8334.5
D01,IG-1008,2025-03-31,197.0,8027.09
D01,IG-1008,2025-04-07,164.0,7355.880000000001
D01,IG-1008,2025-04-14,179.0,7691.7
D01,IG-1008,2025-04-21,190.0,8039.33
D01,IG-1008,2025-04-28,196.0,8635.619999999999
D01,IG-1008,2025-05-05,238.0,10493.470000000001
D01,IG-1008,2025-05-12,187.0,8169.889999999999
D01,IG-1008,2025-05-19,225.0,9559.869999999999
D01,IG-1008,2025-05-26,159.0,6594.32
D01,IG-1008,2025-06-02,173.0,7581.4
D01,IG-1008,2025-06-09,139.0,6033.0199999999995
D01,IG-1008,2025-06-16,196.0,8669.47
D01,IG-1008,2025-06-23,212.0,9086.03
D01,IG-1008,2025-06-30,131.0,5512.349999999999
D01,IG-1008,2025-07-07,150.0,6356.07
D01,IG-1008,2025-07-14,158.0,6721.62
D01,IG-1008,2025-07-21,155.0,6863.4400000000005
D01,IG-1008,2025-07-28,117.0,4946.45
D01,IG-1008,2025-08-04,156.0,6459.14
D01,IG-1008,2025-08-11,137.0,5926.5
D01,IG-1008,2025-08-18,147.0,6177.51
D01,IG-1008,2025-08-25,130.0,5540.08
D01,IG-1008,2025-09-01,138.0,6063.42
D01,IG-1008,2025-09-08,151.0,6086.14
D01,IG-1008,2025-09-15,122.0,4895.41
D01,IG-1008,2025-09-22,129.0,5650.4
D01,IG-1008,2025-09-29,146.0,6491.349999999999
D01,IG-1008,2025-10-06,117.0,4965.2
D01,IG-1008,2025-10-13,99.0,4100.81
D01,IG-1008,2025-10-20,128.0,5183.74
D01,IG-1008,2025-10-27,141.0,6318.24
D01,IG-1008,2025-11-03,136.0,5605.55
D01,IG-1008,2025-11-10,123.0,5204.64
D01,IG-1008,2025-11-17,77.0,3380.67
D01,IG-1008,2025-11-24,98.0,4335.06
D01,IG-1008,2025-12-01,98.0,4038.55
D01,IG-1008,2025-12-08,107.0,4521.54
D01,IG-1008,2025-12-15,136.0,5935.42
D01,IG-1008,2025-12-22,89.0,3870.33
D01,IG-1008,2025-12-29,146.0,5952.860000000001
D01,IG-1008,2026-01-05,98.0,4003.48
D01,IG-1008,2026-01-12,92.0,3934.49
D01,IG-1008,2026-01-19,117.0,4978.08
D01,IG-1008,2026-01-26,118.0,5296.370000000001
D01,IG-1008,2026-02-02,113.0,4633.2
D01,IG-1008,2026-02-09,92.0,3699.92
D01,IG-1008,2026-02-16,111.0,4939.849999999999
D01,IG-1008,2026-02-23,88.0,3773.45
D01,IG-1008,2026-03-02,91.0,4033.99
D01,IG-1008,2026-03-09,101.0,4357.6
D01,IG-1008,2026-03-16,91.0,3947.2299999999996
D01,IG-1008,2026-03-23,121.0,4998.360000000001
D01,IG-1008,2026-03-30,94.0,3899.28
D01,IG-1010,2024-01-01,162.0,10175.68
D01,IG-1010,2024-01-08,201.0,12305.88
D01,IG-1010,2024-01-15,195.0,11844.29
D01,IG-1010,2024-01-22,250.0,14661.67
D01,IG-1010,2024-01-29,177.0,10511.25
D01,IG-1010,2024-02-05,197.0,12176.18
D01,IG-1010,2024-02-12,190.0,11806.2
D01,IG-1010,2024-02-19,273.0,16937.010000000002
D01,IG-1010,2024-02-26,196.0,11880.79
D01,IG-1010,2024-03-04,246.0,15764.5
D01,IG-1010,2024-03-11,265.0,17038.33
D01,IG-1010,2024-03-18,227.0,14084.86
D01,IG-1010,2024-03-25,191.0,11944.06
D01,IG-1010,2024-04-01,194.0,12480.77
D01,IG-1010,2024-04-08,275.0,16625.41
D01,IG-1010,2024-04-15,202.0,11974.91
D01,IG-1010,2024-04-22,262.0,16510.29
D01,IG-1010,2024-04-29,254.0,14834.07
D01,IG-1010,2024-05-06,266.0,17098.36
D01,IG-1010,2024-05-13,272.0,16065.41
D01,IG-1010,2024-05-20,222.0,13505.62
D01,IG-1010,2024-05-27,222.0,13761.970000000001
D01,IG-1010,2024-06-03,288.0,17456.15
D01,IG-1010,2024-06-10,236.0,15199.560000000001
D01,IG-1010,2024-06-17,173.0,10772.92
